"","page","searchengine","pageviews","segment.id","segment.name"
"4443","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Bulgaria",1,"",""
"4444","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Slovenia",1,"",""
"4445","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Cuba",1,"",""
"4446","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Croatia",1,"",""
"4447","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Nigeria",1,"",""
"4448","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Mongolia",1,"",""
"4449","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Turkey",1,"",""
"4450","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Hungary",1,"",""
"4451","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Colombia",1,"",""
"4452","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Jamaica",1,"",""
"4453","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Ecuador",1,"",""
"4454","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - American Samoa",1,"",""
"4455","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Ukraine",1,"",""
"4456","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Anguilla",1,"",""
"4457","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Nicaragua",1,"",""
"4458","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Poland",1,"",""
"4459","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","Google - Austria",1,"",""
"4460","Estimated range of Aedes aegypti and Aedes albopictus in the US | Zika virus | CDC","AOL.com Search",1,"",""
"4461","Mosquito Control | Zika virus | CDC","::unspecified::",2717,"",""
"4462","Mosquito Control | Zika virus | CDC","Google",2164,"",""
"4463","Mosquito Control | Zika virus | CDC","Google - Canada",270,"",""
"4464","Mosquito Control | Zika virus | CDC","Microsoft Bing",168,"",""
"4465","Mosquito Control | Zika virus | CDC","Google - United Kingdom",106,"",""
"4466","Mosquito Control | Zika virus | CDC","Yahoo!",76,"",""
"4467","Mosquito Control | Zika virus | CDC","Google - Philippines",40,"",""
"4468","Mosquito Control | Zika virus | CDC","Google Search App",23,"",""
"4469","Mosquito Control | Zika virus | CDC","Google - Thailand",18,"",""
"4470","Mosquito Control | Zika virus | CDC","Google - India",18,"",""
"4471","Mosquito Control | Zika virus | CDC","MyWay.com",16,"",""
"4472","Mosquito Control | Zika virus | CDC","Google - Belgium",16,"",""
"4473","Mosquito Control | Zika virus | CDC","Google - Nigeria",15,"",""
"4474","Mosquito Control | Zika virus | CDC","Google - Singapore",15,"",""
"4475","Mosquito Control | Zika virus | CDC","Baidu",15,"",""
"4476","Mosquito Control | Zika virus | CDC","Google - Germany",15,"",""
"4477","Mosquito Control | Zika virus | CDC","Google - Puerto Rico",14,"",""
"4478","Mosquito Control | Zika virus | CDC","Google - Pakistan",13,"",""
"4479","Mosquito Control | Zika virus | CDC","Google - Mexico",13,"",""
"4480","Mosquito Control | Zika virus | CDC","Google - Brasil",13,"",""
"4481","Mosquito Control | Zika virus | CDC","Google - Hong Kong",11,"",""
"4482","Mosquito Control | Zika virus | CDC","Google - Australia",11,"",""
"4483","Mosquito Control | Zika virus | CDC","Google - Switzerland",10,"",""
"4484","Mosquito Control | Zika virus | CDC","Google - Portugal",9,"",""
"4485","Mosquito Control | Zika virus | CDC","Google - Japan",9,"",""
"4486","Mosquito Control | Zika virus | CDC","Google - France",9,"",""
"4487","Mosquito Control | Zika virus | CDC","Google - Sweden",8,"",""
"4488","Mosquito Control | Zika virus | CDC","DuckDuckGo",7,"",""
"4489","Mosquito Control | Zika virus | CDC","Google - Jamaica",7,"",""
"4490","Mosquito Control | Zika virus | CDC","Google - Zimbabwe",6,"",""
"4491","Mosquito Control | Zika virus | CDC","Google - South Africa",6,"",""
"4492","Mosquito Control | Zika virus | CDC","Google - Ireland",6,"",""
"4493","Mosquito Control | Zika virus | CDC","Google - Saudi Arabia",5,"",""
"4494","Mosquito Control | Zika virus | CDC","Google - Argentina",5,"",""
"4495","Mosquito Control | Zika virus | CDC","Google - Malaysia",5,"",""
"4496","Mosquito Control | Zika virus | CDC","Google - United Arab Emirates",5,"",""
"4497","Mosquito Control | Zika virus | CDC","Google - Poland",5,"",""
"4498","Mosquito Control | Zika virus | CDC","Google - Spain",5,"",""
"4499","Mosquito Control | Zika virus | CDC","Google - Italy",5,"",""
"4500","Mosquito Control | Zika virus | CDC","Google - Cyprus",4,"",""
"4501","Mosquito Control | Zika virus | CDC","Google - Saint Vincent and the Grenadine",4,"",""
"4502","Mosquito Control | Zika virus | CDC","Google - Sri Lanka",4,"",""
"4503","Mosquito Control | Zika virus | CDC","Google - Finland",4,"",""
"4504","Mosquito Control | Zika virus | CDC","Google - Romania",4,"",""
"4505","Mosquito Control | Zika virus | CDC","Yahoo! - Japan",4,"",""
"4506","Mosquito Control | Zika virus | CDC","Ask Jeeves",4,"",""
"4507","Mosquito Control | Zika virus | CDC","Google - Ghana",3,"",""
"4508","Mosquito Control | Zika virus | CDC","Google - Peru",3,"",""
"4509","Mosquito Control | Zika virus | CDC","Google - Ethiopia",3,"",""
"4510","Mosquito Control | Zika virus | CDC","Google - Greece",3,"",""
"4511","Mosquito Control | Zika virus | CDC","Google - Trinidad and Tobago",3,"",""
"4512","Mosquito Control | Zika virus | CDC","Google - Israel",3,"",""
"4513","Mosquito Control | Zika virus | CDC","Google - Taiwan",3,"",""
"4514","Mosquito Control | Zika virus | CDC","Google - Antigua and Barbuda",3,"",""
"4515","Mosquito Control | Zika virus | CDC","Google - Slovakia",3,"",""
"4516","Mosquito Control | Zika virus | CDC","Google - Denmark",3,"",""
"4517","Mosquito Control | Zika virus | CDC","Google - New Zealand",3,"",""
"4518","Mosquito Control | Zika virus | CDC","Google - Netherlands",3,"",""
"4519","Mosquito Control | Zika virus | CDC","Haosou (so.com)",2,"",""
"4520","Mosquito Control | Zika virus | CDC","Google - Venezuela",2,"",""
"4521","Mosquito Control | Zika virus | CDC","Google - Slovenia",2,"",""
"4522","Mosquito Control | Zika virus | CDC","Google - Turkey",2,"",""
"4523","Mosquito Control | Zika virus | CDC","Google - Indonesia",2,"",""
"4524","Mosquito Control | Zika virus | CDC","Google - Czech Republic",2,"",""
"4525","Mosquito Control | Zika virus | CDC","Google - Ecuador",2,"",""
"4526","Mosquito Control | Zika virus | CDC","Google - Norway",2,"",""
"4527","Mosquito Control | Zika virus | CDC","Google - Russia",2,"",""
"4528","Mosquito Control | Zika virus | CDC","Yahoo! - UK and Ireland",2,"",""
"4529","Mosquito Control | Zika virus | CDC","Google - Chile",2,"",""
"4530","Mosquito Control | Zika virus | CDC","Google - Lebanon",1,"",""
"4531","Mosquito Control | Zika virus | CDC","Google - Mozambique",1,"",""
"4532","Mosquito Control | Zika virus | CDC","Google - Iraq",1,"",""
"4533","Mosquito Control | Zika virus | CDC","Google - Egypt",1,"",""
"4534","Mosquito Control | Zika virus | CDC","Google - Bolivia",1,"",""
"4535","Mosquito Control | Zika virus | CDC","Google - Nepal",1,"",""
"4536","Mosquito Control | Zika virus | CDC","Google - Island",1,"",""
"4537","Mosquito Control | Zika virus | CDC","Google - Hungary",1,"",""
"4538","Mosquito Control | Zika virus | CDC","Google - Colombia",1,"",""
"4539","Mosquito Control | Zika virus | CDC","Google - El Salvador",1,"",""
"4540","Mosquito Control | Zika virus | CDC","Google - Honduras",1,"",""
"4541","Mosquito Control | Zika virus | CDC","Google - Jersey",1,"",""
"4542","Mosquito Control | Zika virus | CDC","Google - Dominica",1,"",""
"4543","Mosquito Control | Zika virus | CDC","Google - American Samoa",1,"",""
"4544","Mosquito Control | Zika virus | CDC","Google - Korea",1,"",""
"4545","Mosquito Control | Zika virus | CDC","Google - Ukraine",1,"",""
"4546","Mosquito Control | Zika virus | CDC","Google - Latvia",1,"",""
"4547","Mosquito Control | Zika virus | CDC","Google - Austria",1,"",""
"4548","Timeline of ""What's New"" | Zika virus | CDC","Google",2129,"",""
"4549","Timeline of ""What's New"" | Zika virus | CDC","::unspecified::",2069,"",""
"4550","Timeline of ""What's New"" | Zika virus | CDC","Google - Canada",215,"",""
"4551","Timeline of ""What's New"" | Zika virus | CDC","Microsoft Bing",89,"",""
"4552","Timeline of ""What's New"" | Zika virus | CDC","Google - United Kingdom",86,"",""
"4553","Timeline of ""What's New"" | Zika virus | CDC","Yahoo!",57,"",""
"4554","Timeline of ""What's New"" | Zika virus | CDC","Google Search App",31,"",""
"4555","Timeline of ""What's New"" | Zika virus | CDC","Google - Australia",18,"",""
"4556","Timeline of ""What's New"" | Zika virus | CDC","Google - Germany",16,"",""
"4557","Timeline of ""What's New"" | Zika virus | CDC","Google - Philippines",14,"",""
"4558","Timeline of ""What's New"" | Zika virus | CDC","Google - Puerto Rico",13,"",""
"4559","Timeline of ""What's New"" | Zika virus | CDC","Google - Thailand",12,"",""
"4560","Timeline of ""What's New"" | Zika virus | CDC","Google - India",12,"",""
"4561","Timeline of ""What's New"" | Zika virus | CDC","Google - Netherlands",10,"",""
"4562","Timeline of ""What's New"" | Zika virus | CDC","Google - Spain",9,"",""
"4563","Timeline of ""What's New"" | Zika virus | CDC","Google - Italy",9,"",""
"4564","Timeline of ""What's New"" | Zika virus | CDC","Google - Saudi Arabia",8,"",""
"4565","Timeline of ""What's New"" | Zika virus | CDC","Google - Mexico",8,"",""
"4566","Timeline of ""What's New"" | Zika virus | CDC","Google - Sweden",8,"",""
"4567","Timeline of ""What's New"" | Zika virus | CDC","Google - Singapore",7,"",""
"4568","Timeline of ""What's New"" | Zika virus | CDC","Google - Norway",7,"",""
"4569","Timeline of ""What's New"" | Zika virus | CDC","Google - Poland",7,"",""
"4570","Timeline of ""What's New"" | Zika virus | CDC","Google - France",7,"",""
"4571","Timeline of ""What's New"" | Zika virus | CDC","Google - Argentina",6,"",""
"4572","Timeline of ""What's New"" | Zika virus | CDC","Google - Bulgaria",6,"",""
"4573","Timeline of ""What's New"" | Zika virus | CDC","Google - Ireland",6,"",""
"4574","Timeline of ""What's New"" | Zika virus | CDC","Google - New Zealand",6,"",""
"4575","Timeline of ""What's New"" | Zika virus | CDC","DuckDuckGo",5,"",""
"4576","Timeline of ""What's New"" | Zika virus | CDC","Google - Finland",5,"",""
"4577","Timeline of ""What's New"" | Zika virus | CDC","Google - Denmark",5,"",""
"4578","Timeline of ""What's New"" | Zika virus | CDC","Google - Brasil",5,"",""
"4579","Timeline of ""What's New"" | Zika virus | CDC","Google - Paraguay",4,"",""
"4580","Timeline of ""What's New"" | Zika virus | CDC","Google - Israel",4,"",""
"4581","Timeline of ""What's New"" | Zika virus | CDC","MyWay.com",4,"",""
"4582","Timeline of ""What's New"" | Zika virus | CDC","Google - Japan",4,"",""
"4583","Timeline of ""What's New"" | Zika virus | CDC","Google - Austria",4,"",""
"4584","Timeline of ""What's New"" | Zika virus | CDC","Google - Switzerland",4,"",""
"4585","Timeline of ""What's New"" | Zika virus | CDC","Google - Dominican Republic",3,"",""
"4586","Timeline of ""What's New"" | Zika virus | CDC","Google - Nigeria",3,"",""
"4587","Timeline of ""What's New"" | Zika virus | CDC","Google - Jamaica",3,"",""
"4588","Timeline of ""What's New"" | Zika virus | CDC","Google - Hong Kong",3,"",""
"4589","Timeline of ""What's New"" | Zika virus | CDC","Google - Greece",3,"",""
"4590","Timeline of ""What's New"" | Zika virus | CDC","Google - Trinidad and Tobago",3,"",""
"4591","Timeline of ""What's New"" | Zika virus | CDC","Google - Taiwan",3,"",""
"4592","Timeline of ""What's New"" | Zika virus | CDC","Google - Belgium",3,"",""
"4593","Timeline of ""What's New"" | Zika virus | CDC","Google - Slovenia",2,"",""
"4594","Timeline of ""What's New"" | Zika virus | CDC","Google - Turkey",2,"",""
"4595","Timeline of ""What's New"" | Zika virus | CDC","Google - South Africa",2,"",""
"4596","Timeline of ""What's New"" | Zika virus | CDC","Google - British Virgin Islands",2,"",""
"4597","Timeline of ""What's New"" | Zika virus | CDC","Google - Korea",2,"",""
"4598","Timeline of ""What's New"" | Zika virus | CDC","Google - Russia",2,"",""
"4599","Timeline of ""What's New"" | Zika virus | CDC","Google - Portugal",2,"",""
"4600","Timeline of ""What's New"" | Zika virus | CDC","Google - Chile",2,"",""
"4601","Timeline of ""What's New"" | Zika virus | CDC","Google - Algerie",1,"",""
"4602","Timeline of ""What's New"" | Zika virus | CDC","Google - Croatia",1,"",""
"4603","Timeline of ""What's New"" | Zika virus | CDC","Google - Guyana",1,"",""
"4604","Timeline of ""What's New"" | Zika virus | CDC","Google - Belize",1,"",""
"4605","Timeline of ""What's New"" | Zika virus | CDC","Google - Nepal",1,"",""
"4606","Timeline of ""What's New"" | Zika virus | CDC","Google - Viet Nam",1,"",""
"4607","Timeline of ""What's New"" | Zika virus | CDC","Google - Peru",1,"",""
"4608","Timeline of ""What's New"" | Zika virus | CDC","Google - Isle of Gibraltar",1,"",""
"4609","Timeline of ""What's New"" | Zika virus | CDC","Google - Czech Republic",1,"",""
"4610","Timeline of ""What's New"" | Zika virus | CDC","Google - Ethiopia",1,"",""
"4611","Timeline of ""What's New"" | Zika virus | CDC","Baidu",1,"",""
"4612","Timeline of ""What's New"" | Zika virus | CDC","Google - Latvia",1,"",""
"4613","Timeline of ""What's New"" | Zika virus | CDC","Yahoo! - Mexico",1,"",""
"4614","Timeline of ""What's New"" | Zika virus | CDC","Google - Romania",1,"",""
"4615","Timeline of ""What's New"" | Zika virus | CDC","Google - Luxembourg",1,"",""
"4616","Timeline of ""What's New"" | Zika virus | CDC","Naver",1,"",""
"4617","Timeline of ""What's New"" | Zika virus | CDC","AOL.com Search",1,"",""
"4618","Timeline of ""What's New"" | Zika virus | CDC","Ask Jeeves",1,"",""
"4619","Zika is in Your Area: What To Do | Zika virus | CDC","::unspecified::",2271,"",""
"4620","Zika is in Your Area: What To Do | Zika virus | CDC","Google",1698,"",""
"4621","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Canada",311,"",""
"4622","Zika is in Your Area: What To Do | Zika virus | CDC","Google - United Kingdom",129,"",""
"4623","Zika is in Your Area: What To Do | Zika virus | CDC","Microsoft Bing",123,"",""
"4624","Zika is in Your Area: What To Do | Zika virus | CDC","Yahoo!",60,"",""
"4625","Zika is in Your Area: What To Do | Zika virus | CDC","Google Search App",36,"",""
"4626","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Germany",25,"",""
"4627","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Sweden",19,"",""
"4628","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Australia",12,"",""
"4629","Zika is in Your Area: What To Do | Zika virus | CDC","Google - France",11,"",""
"4630","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Mexico",10,"",""
"4631","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Hong Kong",9,"",""
"4632","Zika is in Your Area: What To Do | Zika virus | CDC","Google - India",9,"",""
"4633","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Netherlands",9,"",""
"4634","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Switzerland",9,"",""
"4635","Zika is in Your Area: What To Do | Zika virus | CDC","DuckDuckGo",8,"",""
"4636","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Norway",8,"",""
"4637","Zika is in Your Area: What To Do | Zika virus | CDC","MyWay.com",8,"",""
"4638","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Finland",7,"",""
"4639","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Belgium",7,"",""
"4640","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Jamaica",5,"",""
"4641","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Ireland",5,"",""
"4642","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Argentina",4,"",""
"4643","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Puerto Rico",4,"",""
"4644","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Turkey",4,"",""
"4645","Zika is in Your Area: What To Do | Zika virus | CDC","Google - South Africa",4,"",""
"4646","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Brasil",4,"",""
"4647","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Egypt",3,"",""
"4648","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Czech Republic",3,"",""
"4649","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Philippines",3,"",""
"4650","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Uruguay",3,"",""
"4651","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Spain",3,"",""
"4652","Zika is in Your Area: What To Do | Zika virus | CDC","Google - New Zealand",3,"",""
"4653","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Italy",3,"",""
"4654","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Austria",3,"",""
"4655","Zika is in Your Area: What To Do | Zika virus | CDC","AOL.com Search",3,"",""
"4656","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Viet Nam",2,"",""
"4657","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Singapore",2,"",""
"4658","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Israel",2,"",""
"4659","Zika is in Your Area: What To Do | Zika virus | CDC","Google - United Arab Emirates",2,"",""
"4660","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Denmark",2,"",""
"4661","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Luxembourg",2,"",""
"4662","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Japan",2,"",""
"4663","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Chile",2,"",""
"4664","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Estonia",1,"",""
"4665","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Saint Vincent and the Grenadine",1,"",""
"4666","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Malaysia",1,"",""
"4667","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Afghanistan",1,"",""
"4668","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Hungary",1,"",""
"4669","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Colombia",1,"",""
"4670","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Greece",1,"",""
"4671","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Thailand",1,"",""
"4672","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Nicaragua",1,"",""
"4673","Zika is in Your Area: What To Do | Zika virus | CDC","Yahoo! - Canada",1,"",""
"4674","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Latvia",1,"",""
"4675","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Portugal",1,"",""
"4676","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Slovakia",1,"",""
"4677","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Lithuania",1,"",""
"4678","Zika is in Your Area: What To Do | Zika virus | CDC","Google - Romania",1,"",""
"4679","Zika is in Your Area: What To Do | Zika virus | CDC","Ask Jeeves",1,"",""
"4680","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google",2552,"",""
"4681","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Canada",633,"",""
"4682","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","::unspecified::",541,"",""
"4683","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - United Kingdom",255,"",""
"4684","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Australia",64,"",""
"4685","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google Search App",44,"",""
"4686","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Microsoft Bing",24,"",""
"4687","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Mexico",21,"",""
"4688","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Ireland",20,"",""
"4689","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - France",14,"",""
"4690","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Germany",14,"",""
"4691","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Switzerland",13,"",""
"4692","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Yahoo!",11,"",""
"4693","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Thailand",10,"",""
"4694","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - New Zealand",10,"",""
"4695","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Hong Kong",9,"",""
"4696","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Sweden",9,"",""
"4697","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Brasil",8,"",""
"4698","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - India",7,"",""
"4699","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Netherlands",7,"",""
"4700","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Puerto Rico",6,"",""
"4701","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Colombia",6,"",""
"4702","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Korea",6,"",""
"4703","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Israel",6,"",""
"4704","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Austria",6,"",""
"4705","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Argentina",5,"",""
"4706","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Singapore",5,"",""
"4707","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Norway",5,"",""
"4708","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Trinidad and Tobago",4,"",""
"4709","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Slovenia",3,"",""
"4710","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Indonesia",3,"",""
"4711","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Jamaica",3,"",""
"4712","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Philippines",3,"",""
"4713","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - South Africa",3,"",""
"4714","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - British Virgin Islands",3,"",""
"4715","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Italy",3,"",""
"4716","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Ghana",2,"",""
"4717","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Kuwait",2,"",""
"4718","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Dominican Republic",2,"",""
"4719","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Saint Vincent and the Grenadine",2,"",""
"4720","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Guatemala",2,"",""
"4721","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Latvia",2,"",""
"4722","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - United Arab Emirates",2,"",""
"4723","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Finland",2,"",""
"4724","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Belgium",2,"",""
"4725","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Lebanon",1,"",""
"4726","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","DuckDuckGo",1,"",""
"4727","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Egypt",1,"",""
"4728","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Pakistan",1,"",""
"4729","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Bulgaria",1,"",""
"4730","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Sri Lanka",1,"",""
"4731","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Cuba",1,"",""
"4732","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Laos",1,"",""
"4733","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Viet Nam",1,"",""
"4734","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Peru",1,"",""
"4735","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Hungary",1,"",""
"4736","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Honduras",1,"",""
"4737","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Czech Republic",1,"",""
"4738","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Malta",1,"",""
"4739","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Taiwan",1,"",""
"4740","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Haiti",1,"",""
"4741","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Poland",1,"",""
"4742","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Portugal",1,"",""
"4743","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Slovakia",1,"",""
"4744","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","MyWay.com",1,"",""
"4745","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Spain",1,"",""
"4746","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Costa Rica",1,"",""
"4747","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Japan",1,"",""
"4748","Women and Men with Possible Zika Virus Exposure Who Desire Pregnancy | Zika virus | CDC","Google - Chile",1,"",""
"4749","What Parents Should Know about Zika | Zika virus | CDC","Google",2193,"",""
"4750","What Parents Should Know about Zika | Zika virus | CDC","::unspecified::",891,"",""
"4751","What Parents Should Know about Zika | Zika virus | CDC","Google - Canada",609,"",""
