"","page","searchenginekeyword","pageviews","segment.id","segment.name"
"5862","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","planning pregnancy  and travel to area with zika",1,"",""
"5863","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc new recommendations zika",1,"",""
"5864","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika rec",1,"",""
"5865","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is zika in the dr",1,"",""
"5866","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","do i need to wait 6 months after travelling to get pregnant",1,"",""
"5867","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc recommendation for traveling pregnant zika",1,"",""
"5868","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika en argentina",1,"",""
"5869","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","punta cana and zika virus",1,"",""
"5870","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long to wait before trying to get pregnant after zika",1,"",""
"5871","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika outbreaks in mexico",1,"",""
"5872","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika zone 6 months pregnancy",1,"",""
"5873","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","puerto rico zika update 2017",1,"",""
"5874","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","current danger zones in usa for zika",1,"",""
"5875","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in bahamas",1,"",""
"5876","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in nicaragua",1,"",""
"5877","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc travel alert for zika",1,"",""
"5878","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","chances of catching zika during trip to mexico",1,"",""
"5879","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","costa rica vaccinations for travelers",1,"",""
"5880","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus caymann islands",1,"",""
"5881","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in dominican",1,"",""
"5882","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc confirmed cases of zika in carrabbean",1,"",""
"5883","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","puerto rico zika virus",1,"",""
"5884","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","guyanna and zika",1,"",""
"5885","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ziki virus",1,"",""
"5886","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika pregnancy delay cdc",1,"",""
"5887","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika colombia",1,"",""
"5888","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika transmission",1,"",""
"5889","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","travel to mexico trying to get pregnant",1,"",""
"5890","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika update location",1,"",""
"5891","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika puerto rico map",1,"",""
"5892","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika, punta cana",1,"",""
"5893","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","wwwnc.cdc.gov",1,"",""
"5894","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","aruba and zika virus",1,"",""
"5895","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long tp wait begore falling pregnsny after visit to zika country",1,"",""
"5896","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","doctor screening pregnant woman",1,"",""
"5897","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","pregnancy guidelines zika",1,"",""
"5898","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","travel precautions if planning to get pregnant with zika",1,"",""
"5899","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus nicaragua",1,"",""
"5900","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus planning pregnancy",1,"",""
"5901","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","guidance for men and women expecting",1,"",""
"5902","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc cali colombia",1,"",""
"5903","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","who should avoid zika virus",1,"",""
"5904","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika thailand",1,"",""
"5905","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is the zika virus in dominican",1,"",""
"5906","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","mexico cdc zika",1,"",""
"5907","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc canada",1,"",""
"5908","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long after traveling to the bahamas should you wait to get pregnant",1,"",""
"5909","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","areas of zika outbreak",1,"",""
"5910","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika blood test",1,"",""
"5911","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zeika waiting period cdc",1,"",""
"5912","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","tests for zika virus",1,"",""
"5913","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","vaccines for travel to usvi",1,"",""
"5914","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika map st lucia",1,"",""
"5915","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","curacao zika",1,"",""
"5916","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika bayahibe",1,"",""
"5917","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","should i go to cabo if i am pregnant",1,"",""
"5918","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","trying to get pregnant",1,"",""
"5919","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika risk area",1,"",""
"5920","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how bad is zika in cancun",1,"",""
"5921","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","getting pregnant in mexico",1,"",""
"5922","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","https://wwwnc.cdc.gov/travel/page/zika-information",1,"",""
"5923","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika countries",1,"",""
"5924","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","getting pregnant after zika virus",1,"",""
"5925","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika en cuba",1,"",""
"5926","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in men",1,"",""
"5927","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus studies for semen",1,"",""
"5928","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika recommendations pregnant women",1,"",""
"5929","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika locations in florida",1,"",""
"5930","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus warnings caribbean",1,"",""
"5931","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long does zika stay in semen",1,"",""
"5932","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","punta cana zika cdc",1,"",""
"5933","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","if bit by misquitos in jamaica should be tested for zika",1,"",""
"5934","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","caribbean zika map",1,"",""
"5935","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is there zika in barbados",1,"",""
"5936","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika pregnant",1,"",""
"5937","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","precautiona to puerta viarra for zika",1,"",""
"5938","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus and traveling to dominican republic",1,"",""
"5939","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long should you wait to have a baby after zika",1,"",""
"5940","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is zika still a threat cdc",1,"",""
"5941","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus pregnancy recommendations",1,"",""
"5942","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus for travelers",1,"",""
"5943","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc website zika",1,"",""
"5944","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika infestation map",1,"",""
"5945","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is there zika virus in cuba",1,"",""
"5946","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","do you need to gt vaccinated before traveling to costa rica",1,"",""
"5947","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","reuired vaccines for fiji",1,"",""
"5948","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is the zika virus in st. lucia?",1,"",""
"5949","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika travel warnings",1,"",""
"5950","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","mosquiotos in el salvador",1,"",""
"5951","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","jamaique zika",1,"",""
"5952","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","el salvador zika",1,"",""
"5953","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","trying to grt pregabt aftwr exposure to zika",1,"",""
"5954","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zikavirus in dominica",1,"",""
"5955","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika and belize",1,"",""
"5956","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika warning mexico",1,"",""
"5957","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","chickagunga virus cdc",1,"",""
"5958","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","what to use when having delay for pregnant",1,"",""
"5959","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc.og",1,"",""
"5960","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus playa del carmen mexico",1,"",""
"5961","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus travel",1,"",""
"5962","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika kap verde",1,"",""
"5963","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ho",1,"",""
"5964","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus on the pacific side of mexico",1,"",""
"5965","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","common areas of zika out break",1,"",""
"5966","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus egypt",1,"",""
"5967","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","mexico zika danger",1,"",""
"5968","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","bahamas zika map",1,"",""
"5969","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus when to get pregnant",1,"",""
"5970","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in males",1,"",""
"5971","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","if you travelled in july in the dominicain republic and got pregnant in october is there a risk of zika",1,"",""
"5972","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in turks and caicos",1,"",""
"5973","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in jamaica negril",1,"",""
"5974","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus pregnant",1,"",""
"5975","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika wait to get pregnant",1,"",""
"5976","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","if i am wanting to get pregnant should i travel to south americazek",1,"",""
"5977","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zikia",1,"",""
"5978","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika areas",1,"",""
"5979","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how prevalent is zika in punta cana",1,"",""
"5980","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in belize",1,"",""
"5981","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zica cases in florida",1,"",""
"5982","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika mexico states",1,"",""
"5983","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika viris fiji",1,"",""
"5984","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long to wait until pregnancy zika",1,"",""
"5985","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","aruba zika",1,"",""
"5986","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika puerto rico",1,"",""
"5987","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","should i fly to aruba because of zika",1,"",""
"5988","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","sex.images.sas.damag.ki",1,"",""
"5989","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus and getting pregnant after",1,"",""
"5990","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in los cabos mexico",1,"",""
"5991","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cancun zika virus",1,"",""
"5992","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","costa rica zika virus 2017",1,"",""
"5993","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","worst countries with zika",1,"",""
"5994","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","https://wwwnc.cdc.gov/travel/notices/alert/zika-virus-dominican-republic",1,"",""
"5995","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","south america zika virus",1,"",""
"5996","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long to wait to get pregnant after zika",1,"",""
"5997","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus shot",1,"",""
"5998","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus males",1,"",""
"5999","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","medicine which help to get pregnate using by man  &woman",1,"",""
"6000","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","anguilla zika",1,"",""
"6001","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","where is zika virus not found",1,"",""
"6002","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika travel advisory",1,"",""
"6003","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in lima",1,"",""
"6004","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zi",1,"",""
"6005","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","about ladies pregnancy",1,"",""
"6006","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika who",1,"",""
"6007","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in aruba",1,"",""
"6008","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","virus zika kuba",1,"",""
"6009","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","list of medications you can take while pregnant",1,"",""
"6010","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","do you need vaccines for grenada",1,"",""
"6011","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","saint lucia zika virus",1,"",""
"6012","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","grand cayman zika cdc",1,"",""
"6013","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","islands still affected by zika",1,"",""
"6014","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika 8 weeks cdc",1,"",""
"6015","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc, zika, belize",1,"",""
"6016","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika virus hawaii",1,"",""
"6017","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus travel warnings",1,"",""
"6018","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","chc zika virus",1,"",""
"6019","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","antigua zika",1,"",""
"6020","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika travel areas",1,"",""
"6021","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus pregnan",1,"",""
"6022","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika test negative can i get pregnant",1,"",""
"6023","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc lastest guidelines for zika",1,"",""
"6024","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","a woman gets pregnant for a man with infection",1,"",""
"6025","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika trimester pregnancy",1,"",""
"6026","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika cayman islands",1,"",""
"6027","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","countries without zika warnings",1,"",""
"6028","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","https://www.cdc.gov/zika/geo/active-countries.html\",1,"",""
"6029","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long after zika virus is it safe to conceive",1,"",""
"6030","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","belize and zika",1,"",""
"6031","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc costa rica",1,"",""
"6032","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","us zika 2017",1,"",""
"6033","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","guidline for conception of baby",1,"",""
"6034","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","testing for zika before getting pregnant",1,"",""
"6035","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","south american countries with zika virus",1,"",""
"6036","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long after being exposed to zika virus can i get pregnant",1,"",""
"6037","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in barbados",1,"",""
"6038","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus sex",1,"",""
"6039","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus cancun 2017",1,"",""
"6040","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is zika virus in mexico",1,"",""
"6041","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika jamacia",1,"",""
"6042","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","caribbean islands without zika",1,"",""
"6043","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how to protect yourself against the zika virus",1,"",""
"6044","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika and us cdc",1,"",""
"6045","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika and mexico travel",1,"",""
"6046","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika update cdc",1,"",""
"6047","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","www.condom use",1,"",""
"6048","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","us virgin islands, british virgin islands zika",1,"",""
"6049","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika and planning pregnancy",1,"",""
"6050","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika carribeam",1,"",""
"6051","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika and women",1,"",""
"6052","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc international travel haiti",1,"",""
"6053","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ziki carribean",1,"",""
"6054","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika advisory cdc",1,"",""
"6055","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","travel bans zika",1,"",""
"6056","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","barbados zika",1,"",""
"6057","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika and pregnancy risk",1,"",""
"6058","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cape verde zika virus",1,"",""
"6059","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","infection for the pregnant and how to prevent them",1,"",""
"6060","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","epidemiology of zika in belize",1,"",""
"6061","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","varadero zika virus",1,"",""
"6062","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","travel to brazil zika virus",1,"",""
"6063","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is zika circulating in mexico",1,"",""
"6064","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in punta cana",1,"",""
"6065","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","costa rica and zika virus",1,"",""
"6066","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika texas",1,"",""
"6067","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika u.s. health department",1,"",""
"6068","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika risk brazil",1,"",""
"6069","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika guadeloupe",1,"",""
"6070","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","number of zika cases in jamaica",1,"",""
"6071","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","mexico and zika virus",1,"",""
"6072","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how prepare pregnant sexually in women whom",1,"",""
"6073","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in puerto rico",1,"",""
"6074","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long to wait after ziki",1,"",""
"6075","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika test",1,"",""
"6076","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in cayman islands",1,"",""
"6077","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","mexico vaccinations",1,"",""
"6078","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","thailand zika cdc",1,"",""
"6079","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in the bahamas?",1,"",""
"6080","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long after being in a zika virus before",1,"",""
"6081","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is there zika virus in turks and cacios",1,"",""
"6082","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","bahamas zika virus 2016",1,"",""
"6083","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika pregnancy guidelines",1,"",""
"6084","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc.gov zika virus",1,"",""
"6085","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","pregnancy",1,"",""
"6086","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","waiting to get pregnant after travelling",1,"",""
"6087","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika screening for travel",1,"",""
"6088","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika and cancun mexico",1,"",""
"6089","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","does mexico have zika",1,"",""
"6090","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","when can i get pregnant after zika",1,"",""
"6091","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","places eith zika",1,"",""
"6092","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","who zika and pregnant",1,"",""
"6093","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika affected areas",1,"",""
"6094","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika cancun",1,"",""
"6095","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","st. lucia zika concerns",1,"",""
"6096","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus and getting pregnant",1,"",""
"6097","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","pregnancy and zika virus",1,"",""
"6098","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika virus st. lucia",1,"",""
"6099","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika virus in aruba",1,"",""
"6100","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus karte",1,"",""
"6101","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika travel trying to conceive",1,"",""
"6102","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus travel advisory",1,"",""
"6103","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika panama",1,"",""
"6104","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika travel information",1,"",""
"6105","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus arecibo puerto rico",1,"",""
"6106","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika status",1,"",""
"6107","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika, puerto rico",1,"",""
"6108","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","risk of zika in cabo mexico",1,"",""
"6109","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cabo zika virus cdc",1,"",""
"6110","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika risk map",1,"",""
"6111","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus risk in dominican republic",1,"",""
"6112","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","reported cases of zika in cancun",1,"",""
"6113","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is zika in the dominican republic",1,"",""
"6114","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is zika in jamaica",1,"",""
"6115","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika cancun cdc",1,"",""
"6116","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika areas affected",1,"",""
"6117","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long can zika virus stay in your body",1,"",""
"6118","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","jamica spread of zika virus",1,"",""
"6119","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","wait time on zika",1,"",""
"6120","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is zika virus in the caribbean",1,"",""
"6121","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","planning pregnancy zika",1,"",""
